Q_by_U,L_test_bar,L_test_std,L_unif_bar,L_unif_std,L_test_TV_bar,L_test_TV_std,L_unif_TV_bar,L_unif_TV_std
0.5,0.4535000000000002,0.16586716572808094,0.5247499999999999,0.14938491947538302,0.32068166666666664,0.1597398301840284,0.30840124999999996,0.14157538790671736
1.0,0.4535000000000002,0.16586716572808094,0.5247499999999999,0.14938491947538302,0.32068166666666664,0.1597398301840284,0.30840124999999996,0.14157538790671736
2.0,0.4535000000000002,0.16586716572808094,0.5247499999999999,0.14938491947538302,0.32068166666666664,0.1597398301840284,0.30840124999999996,0.14157538790671736
5.0,0.4253750000000001,0.19369344604726996,0.49761249999999996,0.19081534335691316,0.31193166666666666,0.1630097543519678,0.2978179166666666,0.14505427711087918
10.0,0.26549208333333324,0.24400772909512466,0.35323833333333327,0.30798905423822376,0.28864833333333334,0.17033455613553253,0.2638554166666667,0.1514695491118915
20.0,0.03290383333333333,0.072940325803396,0.08909375000000001,0.18695836815568725,0.13139458333333331,0.1278998940897127,0.15970958333333332,0.14715811095777126
50.0,0.0,0.0,0.0,0.0,0.10972208333333332,0.10844489145718075,0.12458874999999998,0.10655136595059447
100.0,0.0,0.0,0.0,0.0,0.10922624999999997,0.1088464902899377,0.12303041666666666,0.10759544656099404
