Q_by_U,L_test_bar,L_test_std,L_unif_bar,L_unif_std,L_test_TV_bar,L_test_TV_std,L_unif_TV_bar,L_unif_TV_std
0.5,0.6878958333333333,0.3503724202891911,0.6416666666666666,0.36061286567299405,0.6798958333333333,0.35045517958692735,0.6699583333333333,0.34295547319910535
1.0,0.5002958333333333,0.3958170457833251,0.4817916666666666,0.36797667262643463,0.5081875000000001,0.38165422539311245,0.5012916666666667,0.3537261746001025
2.0,0.11406083333333338,0.08726048809535097,0.1451458333333333,0.03866674905702429,0.21179916666666673,0.15457577866310604,0.24154166666666668,0.11222743988833073
5.0,0.07547758333333332,0.0861969709420023,0.07765833333333334,0.03792461729829613,0.1986266666666667,0.15625109753392313,0.20775,0.12583980557306448
10.0,0.03389358333333334,0.04480192552029867,0.0353375,0.012147867182486533,0.1823958333333334,0.1548219243711052,0.192875,0.13376119657185087
20.0,0.01784166666666667,0.02434424840810567,0.017768750000000003,0.007244988102417194,0.1776366666666667,0.1548428995968351,0.1898708333333333,0.1357310652207969
50.0,0.010667083333333334,0.018456498512079395,0.007698749999999997,0.0031798942756272046,0.17654500000000004,0.1549670616883902,0.18891666666666665,0.13644128977532996
100.0,0.003787500000000001,0.0049712793876425816,0.0038549999999999995,0.001744486552924193,0.17570750000000002,0.15513484594727048,0.18880416666666666,0.13653224734828112
