Q_by_U,L_test_bar,L_test_std,L_unif_bar,L_unif_std,L_test_TV_bar,L_test_TV_std,L_unif_TV_bar,L_unif_TV_std
0.5,0.3819416666666668,0.22020453733719675,0.3411666666666667,0.13904875244156473,0.25923375,0.18512053266751416,0.2216541666666667,0.11764694191083856
1.0,0.0,0.0,0.0,0.0,2.5634120645833325e-11,9.751804583319599e-11,7.170654433333335e-12,2.7128955171241142e-11
2.0,0.0,0.0,0.0,0.0,5.031306304166666e-13,1.2640147080747508e-12,1.5565405625000004e-13,3.9875435255831467e-13
5.0,0.0,0.0,0.0,0.0,5.030851179166668e-13,1.2640328048952096e-12,1.3436680625000004e-13,3.3251505582370826e-13
10.0,0.0,0.0,0.0,0.0,3.839027279166667e-13,1.0558451229597738e-12,1.213529929166667e-13,3.0310913073226845e-13
20.0,0.0,0.0,0.0,0.0,2.8222515791666663e-13,8.186202933959496e-13,1.0675379416666672e-13,2.7649378766466623e-13
50.0,0.0,0.0,0.0,0.0,2.822242395833333e-13,8.186206098942338e-13,1.0659092458333338e-13,2.765446586467546e-13
100.0,0.0,0.0,0.0,0.0,2.5885701041666663e-13,7.18134076713241e-13,9.046933458333338e-14,2.1846060454783336e-13
