Q_by_U,L_test_bar,L_test_std,L_unif_bar,L_unif_std,L_test_TV_bar,L_test_TV_std,L_unif_TV_bar,L_unif_TV_std
0.5,0.6151791666666666,0.4201181490358462,0.6080416666666667,0.39270710875140635,0.6174791666666667,0.4083480133203037,0.6032083333333335,0.39755051871498737
1.0,0.394155,0.4588683124274327,0.37113375,0.44668533531085486,0.39234987562499996,0.4549730295626422,0.369461112625,0.4477300985554656
2.0,0.00058675,0.0019208855433974555,8.416666666666668e-05,0.00020832499983332658,0.0005427055050000001,0.0017038847001911936,8.152066875000004e-05,0.00020346480900509443
5.0,0.0,0.0,4.166666666666667e-07,1.9982631347136323e-06,1.9365734333333336e-06,5.190403767466736e-06,4.4168499166666683e-07,1.0193102503841757e-06
10.0,0.0,0.0,4.166666666666667e-07,1.9982631347136323e-06,1.7178222041666675e-06,4.917896275579177e-06,4.3450299166666663e-07,1.022237910870337e-06
20.0,0.0,0.0,4.166666666666667e-07,1.9982631347136323e-06,1.715850068625e-06,4.918580082053187e-06,4.3217331020833345e-07,1.023201127720956e-06
50.0,0.0,0.0,4.166666666666667e-07,1.9982631347136323e-06,1.7143526193333333e-06,4.9190995755084145e-06,4.3060694420833357e-07,1.0238513721459864e-06
100.0,0.0,0.0,4.166666666666667e-07,1.9982631347136323e-06,1.7137483693333333e-06,4.9193097868293784e-06,4.2997231920833344e-07,1.0241165052871051e-06
