Q_by_U,L_test_bar,L_test_std,L_unif_bar,L_unif_std,L_test_TV_bar,L_test_TV_std,L_unif_TV_bar,L_unif_TV_std
0.5,0.4452107142857144,0.31048042075293314,0.49564285714285694,0.2140584389976776,0.8014285714285714,0.15807376862253464,0.7879642857142857,0.10420257816349059
1.0,0.22796428571428565,0.1491289212495726,0.29880357142857145,0.09566448991188967,0.7523214285714287,0.15018941696866578,0.7555714285714286,0.07205624220576816
2.0,0.11264107142857147,0.1174171233660846,0.19254285714285713,0.05213182760060874,0.7312142857142858,0.169967719023949,0.733642857142857,0.059748409593725516
5.0,0.05175071428571428,0.052160767339925085,0.10659285714285716,0.026839947953050298,0.7134999999999999,0.17438842114249278,0.7094285714285717,0.06543886381928696
10.0,0.03402178571428571,0.037872939930167576,0.07861071428571428,0.02235210663267262,0.7081785714285714,0.1771103476793551,0.7002857142857143,0.06944003432708641
20.0,0.02558964285714286,0.02633110171887215,0.061596428571428566,0.02025275082097063,0.7061428571428571,0.17895564380309326,0.69775,0.06994468477712534
50.0,0.021330714285714286,0.022636440900297313,0.04816428571428571,0.0202215446330625,0.7051071428571428,0.17951011497280878,0.6956428571428573,0.07081576412762622
100.0,0.01923357142857143,0.020588259000543715,0.04376428571428572,0.018898700149664757,0.7046428571428571,0.17976516711010077,0.6945000000000002,0.07116705698565876
