Q_by_U,L_test_bar,L_test_std,L_unif_bar,L_unif_std,L_test_TV_bar,L_test_TV_std,L_unif_TV_bar,L_unif_TV_std
0.5,0.15318521428571427,0.3461791141399778,0.1583285714285714,0.344379935823734,0.15588891547500003,0.3454957431234463,0.15343639416785715,0.34608618785778805
1.0,2.925e-06,9.011406462288309e-06,3.714285714285715e-05,9.826557102556109e-05,1.0385962857142861e-05,2.2933719670633747e-05,1.0241232142857142e-05,2.610429070121634e-05
2.0,2.1964285714285714e-06,6.340543134850358e-06,2.6428571428571428e-05,6.809731931551475e-05,6.7904664285714315e-06,1.6814088802815506e-05,6.6563999999999995e-06,1.6824063371721895e-05
5.0,2.1964285714285714e-06,6.340543134850358e-06,2.6428571428571428e-05,6.809731931551475e-05,6.74898642857143e-06,1.6830572517085477e-05,6.587126428571428e-06,1.685021082933496e-05
10.0,2.1964285714285714e-06,6.340543134850358e-06,2.6428571428571428e-05,6.809731931551475e-05,6.743865714285714e-06,1.6832618251030697e-05,6.5761000000000004e-06,1.685448305491026e-05
20.0,2.1964285714285714e-06,6.340543134850358e-06,2.6428571428571428e-05,6.809731931551475e-05,6.742785e-06,1.683305056528005e-05,6.574725714285716e-06,1.6855018283959535e-05
50.0,2.1964285714285714e-06,6.340543134850358e-06,2.6428571428571428e-05,6.809731931551475e-05,6.742111607142857e-06,1.6833320173547122e-05,6.573461892857143e-06,1.6855510816181845e-05
100.0,2.1964285714285714e-06,6.340543134850358e-06,2.6428571428571428e-05,6.809731931551475e-05,6.741915035714286e-06,1.6833398890812335e-05,6.573108142857143e-06,1.6855648726774418e-05
