Q_by_U,L_test_bar,L_test_std,L_unif_bar,L_unif_std,L_test_TV_bar,L_test_TV_std,L_unif_TV_bar,L_unif_TV_std
0.5,0.14285714285714285,0.34992710611188244,0.14286285714285712,0.3499247734958509,0.14286780927142861,0.3499227522367177,0.14286223932857148,0.3499250255955268
1.0,0.0,0.0,1.0714285714285714e-06,5.567306167185678e-06,1.324825e-06,2.1790794726910655e-06,1.7797428571428568e-06,4.091591671554567e-06
2.0,0.0,0.0,1.0714285714285714e-06,5.567306167185678e-06,1.2918132142857143e-06,2.192354613925489e-06,1.7086892857142856e-06,4.1176380517527694e-06
5.0,0.0,0.0,1.0714285714285714e-06,5.567306167185678e-06,1.289034642857143e-06,2.1939744263477022e-06,1.7017617857142854e-06,4.120463592271639e-06
10.0,0.0,0.0,1.0714285714285714e-06,5.567306167185678e-06,1.2878964285714285e-06,2.1946389157838608e-06,1.698895357142857e-06,4.121635041049921e-06
20.0,0.0,0.0,1.0714285714285714e-06,5.567306167185678e-06,1.2873877142857144e-06,2.1949365977812736e-06,1.6980424999999999e-06,4.121984942365774e-06
50.0,0.0,0.0,1.0714285714285714e-06,5.567306167185678e-06,1.2872101785714288e-06,2.195040579263579e-06,1.6974302142857141e-06,4.122236598582804e-06
100.0,0.0,0.0,1.0714285714285714e-06,5.567306167185678e-06,1.2870520571428574e-06,2.1951332364577775e-06,1.6971251785714282e-06,4.122362090535127e-06
